

--- ob_w_company_id_table_lms ---
                        name  nullable              type                                                                                           comment
150                         isoi      True  DOUBLE PRECISION                                                                SALE OF INTANGIBLE
151                         iian      True  DOUBLE PRECISION                                                                   INTANGIBLE, NET
152                         iicf      True  DOUBLE PRECISION                                                         OTHER INVESTING CASH FLOW
153                         sicf      True  DOUBLE PRECISION                                            OTHER INVESTING CASH FLOW ITEMS, TOTAL
154                         itli      True  DOUBLE PRECISION                                              TOTAL CASH FROM INVESTING ACTIVITIES
155                         ffcf      True  DOUBLE PRECISION                                                         OTHER FINANCING CASH FLOW
156                         sfcf      True  DOUBLE PRECISION                                                         FINANCING CASH FLOW ITEMS
157                         fdpc      True  DOUBLE PRECISION                                                      CASH DIVIDENDS PAID - COMMON
158                         fdpp      True  DOUBLE PRECISION                                                   CASH DIVIDENDS PAID - PREFERRED
159                         fcdp      True  DOUBLE PRECISION                                                         TOTAL CASH DIVIDENDS PAID
160                         fsic      True  DOUBLE PRECISION                                                           SALE/ISSUANCE OF COMMON
161                         frrc      True  DOUBLE PRECISION                                                   REPURCHASE/RETIREMENT OF COMMON
162                         fcsn      True  DOUBLE PRECISION                                                                 COMMON STOCK, NET
163                         fsip      True  DOUBLE PRECISION                                                        SALE/ISSUANCE OF PREFERRED
164                         frrp      True  DOUBLE PRECISION                                                REPURCHASE/RETIREMENT OF PREFERRED
165                         fpsn      True  DOUBLE PRECISION                                                              PREFERRED STOCK, NET
166                         fscp      True  DOUBLE PRECISION                                                 SALE/ISSUANCE OF COMMON/PREFERRED
167                         frcp      True  DOUBLE PRECISION                                           REPURCH./RETIREMENT OF COMMON/PREFERRED
168                         fopx      True  DOUBLE PRECISION                                                                 OPTIONS EXERCISED
169                         fwcv      True  DOUBLE PRECISION                                                                WARRANTS CONVERTED
170                         ftst      True  DOUBLE PRECISION                                                                    TREASURY STOCK
171                         fpss      True  DOUBLE PRECISION                                               ISSUANCE (RETIREMENT) OF STOCK, NET
172                         fsdi      True  DOUBLE PRECISION                                                            SHORT TERM DEBT ISSUED
173                         fsdr      True  DOUBLE PRECISION                                                         SHORT TERM DEBT REDUCTION
174                         fsdn      True  DOUBLE PRECISION                                                              SHORT TERM DEBT, NET
175                         fldi      True  DOUBLE PRECISION                                                             LONG TERM DEBT ISSUED
